place_id,place_name,gmaps_url,rating,user_rating_count,review_rating,review_text,publish_time
ChIJrZqQi9sj2jERpu_s1tZqIN4,Challenger,https://maps.google.com/?cid=16005910546636140454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,3.7,90,5,Bought a ASUS laptop from Chellenger at Bedok Mall recently and was assisted by the store manager Ben Liu. Ben was knowledgeable and super patient and helpful despite my limited knowledge on the product. His team (another gentleman and a lady) were also super helpful and friendly. Ben was helping to install the Microsoft Office pack and somehow it took a while to complete. Ben had to take his dinner break before the evening crowd began and his colleague stand in to help assist. The lady colleague was also coming over to offer small chat to ensure im not bored by th waiting. The team also brought a stool so i can sit and wait. The cohesive team speaks alot on Ben's leadership. The after-sales service have also been excellent. I had to go back with the laptop to get a few clarification and Ben was again very patient and helpful in testing the functionality to ensure it is working well for me. Fantastic experience with Chellenger at Bedok Mall despite the laptop I purchased was a very basic one under S$800. Some shops may not provide the same level of service for such a price point item.,2025-08-11T04:12:16.661341994Z
ChIJrZqQi9sj2jERpu_s1tZqIN4,Challenger,https://maps.google.com/?cid=16005910546636140454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,3.7,90,1,This is my 3rd time purchase with Challenger and each purchase I kept having to go back to the shop to do an exchange. Very frustrating. Missing receiver….,2025-06-26T12:33:27.766293246Z
ChIJrZqQi9sj2jERpu_s1tZqIN4,Challenger,https://maps.google.com/?cid=16005910546636140454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,3.7,90,5,I was served by a lady  recently I think her name is Evangeline. She is very patient and helpful and answered all my questions ! Totally delighted by her service. Thumbs up for her service.,2025-06-30T15:11:06.959496469Z
ChIJrZqQi9sj2jERpu_s1tZqIN4,Challenger,https://maps.google.com/?cid=16005910546636140454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,3.7,90,1,"Terrible customer service, I bought shokz openrun pro 2 mini and it's to small for me, requested to exchange for the normal version and they say once it opened can't be change.

How would i know if the device would not fit me? i've spent S269 and now i can't use it.

i'm not asking for a refund i just want a product that fits me, better be safe by avoiding them, doesn't matter even if u have a receipt",2025-05-02T06:52:11.905660Z
ChIJrZqQi9sj2jERpu_s1tZqIN4,Challenger,https://maps.google.com/?cid=16005910546636140454&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,3.7,90,1,"The girl serving me was sick or had a flu. She keeps snorting between every few seconds and every few words while serving me. Nothing wrong with her service, she was actually good. She was so near my face at one point of time and still keep on snorting.
But why the management let her work when she is sick? Even so, why is she not wearing a mask? She could've spread the diseases to other customers",2025-03-14T23:35:12.838017Z
ChIJLQSo27M92jERZo20ZKJGaNk,Cow Play Cow Moo,https://maps.google.com/?cid=15665848967096470886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,2.8,216,1,"I wish the COE OF cow moo play  MR Lao Jiwei,could read my review and took action or alert the staff there in pasir ris outlet, we are the member of cow play since it was open & during our visit was a very dissapointed day, i should have not waste more then $100 to top up on the Card as we feel that we could celebrate our children birthday there, but we we been neglected all the time! Most of the machine HAS PROBLEM & MOST OF THE MACHINE IS OUT OF TICKET WHICH WE WILL HAVE TO CALL UP THE SERVICE MOST and ALL THE TIME, AND WE WILL need TO WAIT 10-15min everytime to be attended! TILL I HAVE TO CALL UP THE RED SHIRT (CASHIER AUNTY FOR HELP) ON REGARDS COIN REDEMPTION on the machine but still we were been rejected and not helping at all, she even told us she dont know how to redeem coin from the machine,(while its part of ur job or maybe u can just teach us how to redeem am i right)  she only look after counter she said. So she mind her own business.. She's the one letting off her hair & plum size aunty. Customer service is fail! U just mind ur business & not helping customer at all.. sitting & loitering doing nothing when no customer! While the service trolley girl & boy (blue shirt) is throwing tatrum not happy as need to top up ticket most of the time, and we Customer not in a wrong 'we're here to play Right' they even banged on the table! I wont come back & wont be recommend anyone to go to pasir ris outlet EVEN I LIVE IN BUKIT BATOK . How i wish COE COULD come and inrretigate them closely & see their attitude. customer Service FAIL.",2025-08-12T10:10:14.262485958Z
ChIJLQSo27M92jERZo20ZKJGaNk,Cow Play Cow Moo,https://maps.google.com/?cid=15665848967096470886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,2.8,216,1,"Came to the arcade outlet today as Pasir Ris today and used cash to buy tokens. Today they told me that if I am non member even if I win tickets, I have to purchase member. Didn’t tell me that in the first place. Saying their system cannot accept tickets unless I am member. So now I’m being forced to join member. I know my tickets are not a lot but then why make someone spend and win tickets but unable to claim unless we join them as member. The next door arcade Whimsy, is a better choice, more user friendly with no strings attached, even though they don’t have as much machine choice.",2025-06-10T13:12:50.298482Z
ChIJLQSo27M92jERZo20ZKJGaNk,Cow Play Cow Moo,https://maps.google.com/?cid=15665848967096470886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,2.8,216,1,"The machine had issues. We scanned QR and called, they left us hanging saying can’t fix. After asking again they said wait for manger. After waiting so long, I asked what’s the issue and the staff said “very busy”. I said so what you expect me to wait here till what time the staff just walk away. I asked, can’t you just deposit the points into my card. The boy said ohh you want that. I said is that so difficult? Then he took my card and added the  points. Then he left my card and receipt at the table behind the counter and walked away. I asked him if done, he just said ya and walked away. Isn’t this basic manners? To hand the card back respectfully to me? What kind of uncivilised people are they hiring? No matter how busy you are, don’t you have a SOP or guide on how to speak to customer. Horrendous. When we were done counting the remaining tickets and leaving, the staff fixed the machine within seconds.",2025-07-05T16:33:47.606309277Z
ChIJLQSo27M92jERZo20ZKJGaNk,Cow Play Cow Moo,https://maps.google.com/?cid=15665848967096470886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,2.8,216,5,"I want to commend the amazing staff at the Downtown East branch. Even though they are often understaffed, they are always kind, patient, and professional. They have never been rude to me, and they never doubt me when I report an issue, like when coins do not dispense. If there is any delay in assistance, they always apologise sincerely.

In particular, I want to highlight the cashier lady with spectacles who has been so kind to me since I started visiting about two months ago to destress from work. She patiently taught me how the membership system works and explained how the coin dispensing works.

There is also a very tall male staff member with spectacles who is extremely hardworking — he constantly goes the extra mile without being asked. It’s clear that the staff here work very hard, probably under tough conditions with long hours and modest pay.

I hope the management recognises and appreciates their dedication. Because of these wonderful staff members, I will continue to support this outlet. Thank you for making each visit such a positive experience!",2025-04-28T14:08:53.711698Z
ChIJLQSo27M92jERZo20ZKJGaNk,Cow Play Cow Moo,https://maps.google.com/?cid=15665848967096470886&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAAYBCAA,2.8,216,1,"First time to this outlet.
Every machines out of tickets, need to call the staff over and over again , such a time wasting and not a pleasant experience, will not come here again .
One of the staff attitude was not good makes us felt bad when we ask him to top up the tickets.
If topping up the machines is so hard , I suggest you upgrade your system like other outlets can use card to collect tickets, they are doing better than you.",2025-07-18T12:02:46.454945314Z
